vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
1 102 102 478 448 30 yes
31 111 111 479 454 25 yes
90 60 61 479 474 5 yes
83 33 6 480 465 15 yes
43 89 160 480 465 15 no
18 6 29 480 450 30 yes
64 29 149 480 460 20 yes
79 43 32 480 470 10 yes
32 58 58 482 452 30 yes
20 32 82 482 447 35 yes
22 16 1 483 473 10 yes
81 77 77 483 458 25 yes
3 16 88 484 469 15 yes
26 29 163 485 470 15 no
45 4 4 485 460 25 yes
73 15 15 485 485 0 yes
40 23 23 486 471 15 yes
62 63 63 486 471 15 yes
72 29 29 486 471 15 yes
58 61 66 488 478 10 yes
84 10 96 488 473 15 yes
42 89 89 488 468 20 yes
60 66 19 488 468 20 yes
70 3 7 489 484 5 yes
49 51 51 490 470 20 yes
41 4 166 490 470 20 no
67 89 89 490 480 10 yes
80 4 88 490 485 5 yes
85 0 0 490 480 10 yes
76 4 12 490 475 15 yes
66 35 35 491 471 20 yes
71 9 1 492 477 15 yes
48 4 4 492 477 15 yes
59 92 92 492 477 15 yes
8 19 166 493 458 35 no
65 14 14 493 468 25 yes
86 86 51 493 473 20 yes
22 1 116 493 473 20 yes
73 15 62 493 483 10 yes
29 36 36 494 479 15 yes
16 1 4 495 485 10 yes
53 148 9 495 475 20 yes
52 59 27 495 485 10 yes
44 82 162 495 485 10 no
33 56 56 496 466 30 yes
91 168 0 497 487 10 yes
68 4 9 497 482 15 yes
92 168 29 498 498 0 yes
30 129 36 498 468 30 yes
7 60 61 499 464 35 yes
6 73 73 499 484 15 yes
5 15 15 500 475 25 yes
27 29 4 500 470 30 yes
87 33 23 500 495 5 yes
21 6 6 500 465 35 yes
83 6 58 500 480 20 yes
3 88 88 500 485 15 yes
80 88 5 500 495 5 yes
61 99 99 501 486 15 yes
82 96 1 502 492 10 yes
4 5 5 503 473 30 yes
56 10 0 503 483 20 yes
62 63 2 503 488 15 yes
84 96 96 503 483 20 yes
47 46 160 504 494 10 no
89 6 29 504 484 20 yes
70 7 7 504 489 15 yes
38 29 6 505 465 40 yes
72 29 118 505 490 15 yes
93 169 126 506 496 10 yes
13 9 1 506 481 25 yes
67 89 16 506 496 10 yes
23 33 33 507 482 25 yes
58 66 66 507 497 10 yes
55 52 28 508 483 25 yes
71 1 1 508 493 15 yes
40 23 9 509 494 15 yes
16 4 4 509 489 20 yes
51 29 29 510 495 15 yes
