vehID;Standort;Dep/Arr;Uhrzeit(Soll);umlaufstatus(Depot/Umlauf);Uhrzeit(Ist);Spalte1;Spalte2
8;101;1;317;1;281;;
8;101;0;317;1;317;;
8;16;1;357;1;317;;
8;16;0;357;1;357;;
8;9;1;358;1;357;;
8;9;0;358;1;358;;
8;9;1;363;1;358;;
8;9;0;363;1;363;;
8;19;1;408;1;363;;
8;19;0;408;1;408;;
8;166;1;416;0;408;;
8;166;0;633;1;633;;
8;73;1;641;1;633;;
8;73;0;641;1;641;;
8;82;1;685;1;641;;
8;82;0;685;1;685;;
8;66;1;685;1;685;;
8;66;0;685;1;685;;
8;66;1;688;1;685;;
8;66;0;688;1;688;;
8;19;1;731;1;688;;
8;19;0;731;1;731;;
8;73;1;731;1;731;;
8;73;0;731;1;731;;
8;9;1;776;1;731;;
8;9;0;776;1;776;;
8;88;1;777;1;776;;
8;88;0;777;1;777;;
8;88;1;805;1;777;;
8;88;0;805;1;805;;
8;5;1;850;1;805;;
8;5;0;850;1;850;;
8;5;1;855;1;850;;
8;5;0;855;1;855;;
8;16;1;899;1;855;;
8;16;0;899;1;899;;
8;25;1;900;1;899;;
8;25;0;900;1;900;;
8;25;1;925;1;900;;
8;25;0;925;1;925;;
8;26;1;957;1;925;;
8;26;0;957;1;957;;
8;113;1;957;1;957;;
8;113;0;957;1;957;;
8;113;1;958;1;957;;
8;113;0;958;1;958;;
8;6;1;985;1;958;;
8;6;0;985;1;985;;
8;29;1;985;1;985;;
8;29;0;985;1;985;;
8;29;1;990;1;985;;
8;29;0;990;1;990;;
8;4;1;1012;1;990;;
8;4;0;1012;1;1012;;
8;6;1;1012;1;1012;;
8;6;0;1012;1;1012;;
8;6;1;1015;1;1012;;
8;6;0;1015;1;1015;;
8;53;1;1044;1;1015;;
8;53;0;1044;1;1044;;
8;53;1;1045;1;1044;;
8;53;0;1045;1;1045;;
8;4;1;1075;1;1045;;
8;4;0;1075;1;1075;;
8;4;1;1080;1;1075;;
8;4;0;1080;1;1080;;
8;6;1;1100;1;1080;;
8;6;0;1100;1;1100;;
8;6;1;1110;1;1100;;
8;6;0;1110;1;1110;;
8;90;1;1128;1;1110;;
8;90;0;1128;1;1128;;
8;90;1;1133;1;1128;;
8;90;0;1133;1;1133;;
8;19;1;1151;1;1133;;
8;19;0;1151;1;1151;;
8;73;1;1151;1;1151;;
8;73;0;1151;1;1151;;
8;9;1;1196;1;1151;;
8;9;0;1196;1;1196;;
8;4;1;1200;1;1196;;
8;4;0;1200;1;1200;;
8;4;1;1225;1;1200;;
8;4;0;1225;1;1225;;
8;6;1;1225;1;1225;;
8;6;0;1225;1;1225;;
8;6;1;1230;1;1225;;
8;6;0;1230;1;1230;;
8;80;1;1240;1;1230;;
8;80;0;1240;1;1240;;
8;29;1;1250;1;1240;;
8;29;0;1250;1;1250;;
8;9;1;1254;1;1250;;
8;9;0;1254;1;1254;;
8;9;1;1256;1;1254;;
8;9;0;1256;1;1256;;
8;47;1;1283;1;1256;;
8;47;0;1283;1;1283;;
8;166;1;1294;0;1283;;
9;168;0;796;1;796;;
9;9;1;808;1;796;;
9;9;0;808;1;808;;
9;57;1;858;1;808;;
9;57;0;858;1;858;;
9;23;1;859;1;858;;
9;23;0;859;1;859;;
9;23;1;874;1;859;;
9;23;0;874;1;874;;
9;9;1;926;1;874;;
9;9;0;926;1;926;;
9;3;1;932;1;926;;
9;3;0;932;1;932;;
9;3;1;944;1;932;;
9;3;0;944;1;944;;
9;4;1;957;1;944;;
9;4;0;957;1;957;;
9;4;1;960;1;957;;
9;4;0;960;1;960;;
9;6;1;980;1;960;;
9;6;0;980;1;980;;
9;168;1;992;0;980;;
10;160;0;289;1;289;;
10;143;1;300;1;289;;
10;143;0;300;1;300;;
10;10;1;345;1;300;;
10;10;0;345;1;345;;
10;10;1;361;1;345;;
10;10;0;361;1;361;;
10;0;1;407;1;361;;
10;0;0;407;1;407;;
10;1;1;441;1;407;;
10;1;0;441;1;441;;
10;25;1;441;1;441;;
10;25;0;441;1;441;;
10;25;1;445;1;441;;
10;25;0;445;1;445;;
10;26;1;477;1;445;;
10;26;0;477;1;477;;
10;113;1;477;1;477;;
10;113;0;477;1;477;;
10;113;1;478;1;477;;
10;113;0;478;1;478;;
10;16;1;509;1;478;;
10;16;0;509;1;509;;
10;1;1;509;1;509;;
10;1;0;509;1;509;;
10;1;1;540;1;509;;
10;1;0;540;1;540;;
10;10;1;595;1;540;;
10;10;0;595;1;595;;
10;10;1;608;1;595;;
