vehID Teilumlaufnummer Standort Dep/Arr Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
39 1 66 1 399 419 10 20
39 1 66 2 399 419 / 20
31 1 111 1 404 419 10 15
31 1 111 2 404 419 / 15
39 1 66 2 401 419 0 18
39 1 66 0 401 419 / 18
25 1 70 1 412 420 5 8
25 1 70 0 412 420 / 8
20 1 32 1 396 420 10 24
20 1 32 2 396 420 / 24
16 1 96 2 420 420 0 0
16 1 96 0 420 420 / 0
20 1 32 2 397 420 0 23
20 1 32 0 397 420 / 23
52 1 55 1 401 421 10 20
52 1 55 0 401 421 / 20
23 1 34 1 400 421 5 21
23 1 34 0 400 421 / 21
84 1 1 1 416 421 5 5
84 1 1 0 416 421 / 5
1 1 39 1 405 422 5 17
1 1 39 0 405 422 / 17
63 1 6 1 404 422 10 18
63 1 6 0 404 422 / 18
29 1 124 1 403 423 10 20
29 1 124 2 403 423 / 20
34 1 68 1 394 423 10 29
34 1 68 2 394 423 / 29
32 1 6 1 400 423 5 23
32 1 6 2 400 423 / 23
29 1 124 2 405 423 0 18
29 1 124 0 405 423 / 18
34 1 68 2 397 423 0 26
34 1 68 0 397 423 / 26
32 1 6 2 405 423 0 18
32 1 6 0 405 423 / 18
5 1 25 1 384 424 5 40
5 1 25 2 384 424 / 40
15 1 6 1 385 424 10 39
15 1 6 2 385 424 / 39
5 1 25 2 385 424 0 39
5 1 25 0 385 424 / 39
15 1 6 2 390 424 0 34
15 1 6 0 390 424 / 34
86 1 164 0 425 425 / 0
51 1 10 1 415 425 5 10
51 1 10 0 415 425 / 10
75 1 9 1 410 425 10 15
75 1 9 2 410 425 / 15
65 1 13 1 410 425 5 15
65 1 13 0 410 425 / 15
75 1 9 2 418 425 0 7
75 1 9 0 418 425 / 7
53 1 46 1 406 426 10 20
53 1 46 0 406 426 / 20
12 1 16 1 404 426 10 22
12 1 16 0 404 426 / 22
36 1 30 1 403 426 5 23
36 1 30 0 403 426 / 23
6 1 158 1 387 426 5 39
6 1 158 0 387 426 / 39
78 1 10 1 407 427 10 20
78 1 10 0 407 427 / 20
2 1 71 1 400 427 10 27
2 1 71 0 400 427 / 27
25 1 104 1 414 427 5 13
25 1 104 2 414 427 / 13
25 1 104 2 420 427 0 7
25 1 104 0 420 427 / 7
8 1 19 1 408 428 5 20
8 1 19 0 408 428 / 20
27 1 4 1 383 428 10 45
27 1 4 2 383 428 / 45
79 1 32 1 413 428 5 15
79 1 32 2 413 428 / 15
27 1 4 2 390 428 0 38
27 1 4 0 390 428 / 38
79 1 32 2 421 428 0 7
79 1 32 0 421 428 / 7
70 1 53 1 414 429 5 15
70 1 53 2 414 429 / 15
85 1 126 1 419 429 10 10
85 1 126 0 419 429 / 10
70 1 53 2 415 429 0 14
70 1 53 0 415 429 / 14
57 1 109 1 420 430 5 10
57 1 109 0 420 430 / 10
17 1 27 1 414 430 10 16
17 1 27 0 414 430 / 16
47 1 29 1 405 430 10 25
47 1 29 0 405 430 / 25
52 1 49 1 405 430 5 25
52 1 49 2 405 430 / 25
52 1 49 2 425 430 0 5
52 1 49 0 425 430 / 5
72 1 75 1 416 431 10 15
72 1 75 2 416 431 / 15
23 1 54 1 400 431 10 31
23 1 54 2 400 431 / 31
72 1 75 2 419 431 0 12
72 1 75 0 419 431 / 12
23 1 54 2 415 431 0 16
23 1 54 0 415 431 / 16
69 1 78 1 422 432 5 10
