vehID Standort Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
1 102 378 402 10 24
1 102 378 402 0 24
26 46 385 402 0 17
26 46 385 402 0 17
1 102 380 402 0 22
1 102 380 402 0 22
83 160 403 403 0 0
50 18 403 403 0 0
50 18 403 403 0 0
18 29 385 403 5 18
18 29 385 403 0 18
18 29 390 403 0 13
18 29 390 403 0 13
84 163 404 404 0 0
56 31 394 404 10 10
56 31 394 404 0 10
31 21 404 404 0 0
31 21 404 404 0 0
37 33 389 404 5 15
37 33 389 404 0 15
31 111 404 404 0 0
31 111 404 404 0 0
49 52 395 405 5 10
49 52 395 405 0 10
16 96 385 405 10 20
16 96 385 405 0 20
54 15 405 405 0 0
54 15 405 405 0 0
85 169 406 406 0 0
55 51 386 406 10 20
55 51 386 406 0 20
23 34 400 406 5 6
23 34 400 406 0 6
6 158 387 406 10 19
6 158 387 406 0 19
55 51 388 406 0 18
55 51 388 406 0 18
14 47 389 407 10 18
14 47 389 407 0 18
83 46 407 407 0 0
83 46 407 407 0 0
49 52 407 407 0 0
49 52 407 407 0 0
14 47 390 407 0 17
14 47 390 407 0 17
30 9 398 408 0 10
30 9 398 408 0 10
32 48 395 408 5 13
32 48 395 408 0 13
3 5 390 408 0 18
3 5 390 408 0 18
30 9 400 408 0 8
30 9 400 408 0 8
3 5 405 408 0 3
3 5 405 408 0 3
7 60 391 409 10 18
7 60 391 409 0 18
5 25 384 409 5 25
5 25 384 409 0 25
71 95 394 409 5 15
71 95 394 409 0 15
7 60 409 409 0 0
7 60 409 409 0 0
5 25 385 409 0 24
5 25 385 409 0 24
41 9 390 410 10 20
41 9 390 410 0 20
47 33 400 410 0 10
47 33 400 410 0 10
64 4 400 410 5 10
64 4 400 410 0 10
64 4 405 410 0 5
64 4 405 410 0 5
52 55 401 411 0 10
52 55 401 411 0 10
40 1 386 411 5 25
40 1 386 411 0 25
36 30 403 411 5 8
36 30 403 411 0 8
23 54 400 411 5 11
23 54 400 411 0 11
40 1 393 411 0 18
40 1 393 411 0 18
25 70 412 412 0 0
25 70 412 412 0 0
35 108 392 412 10 20
35 108 392 412 0 20
35 108 399 412 0 13
35 108 399 412 0 13
2 154 396 413 5 17
2 154 396 413 0 17
13 47 413 413 0 0
13 47 413 413 0 0
27 12 405 413 5 8
27 12 405 413 0 8
34 68 394 413 5 19
34 68 394 413 0 19
27 67 405 413 0 8
27 67 405 413 0 8
34 68 397 413 0 16
34 68 397 413 0 16
27 67 410 413 0 3
27 67 410 413 0 3
39 82 399 414 10 15
39 82 399 414 0 15
46 29 415 415 0 0
46 29 415 415 0 0
17 27 414 415 0 1
17 27 414 415 0 1
37 33 415 415 0 0
37 33 415 415 0 0
23 54 415 415 0 0
23 54 415 415 0 0
53 46 406 416 10 10
53 46 406 416 0 10
12 16 404 416 0 12
12 16 404 416 0 12
22 17 416 416 0 0
22 17 416 416 0 0
48 6 415 417 0 2
48 6 415 417 0 2
81 145 407 417 10 10
81 145 407 417 0 10
78 10 407 417 0 10
78 10 407 417 0 10
38 80 387 417 10 30
38 80 387 417 0 30
2 71 400 417 0 17
2 71 400 417 0 17
8 19 408 418 5 10
8 19 408 418 0 10
29 124 403 418 10 15
29 124 403 418 0 15
66 39 398 418 10 20
66 39 398 418 0 20
6 73 394 418 5 24
6 73 394 418 0 24
32 6 400 418 5 18
32 6 400 418 0 18
71 131 398 418 5 20
71 131 398 418 0 20
29 124 405 418 0 13
29 124 405 418 0 13
6 73 401 418 0 17
6 73 401 418 0 17
32 6 405 418 0 13
32 6 405 418 0 13
71 131 399 418 0 19
71 131 399 418 0 19
74 144 409 419 10 10
74 144 409 419 0 10
4 6 415 419 0 4
4 6 415 419 0 4
70 53 414 419 0 5
70 53 414 419 0 5
39 66 399 419 5 20
39 66 399 419 0 20
46 33 419 419 0 0
46 33 419 419 0 0
70 53 415 419 0 4
70 53 415 419 0 4
39 66 401 419 0 18
39 66 401 419 0 18
75 9 410 420 5 10
75 9 410 420 0 10
20 32 396 420 10 24
20 32 396 420 0 24
60 23 400 420 5 20
60 23 400 420 0 20
16 96 420 420 0 0
16 96 420 420 0 0
52 49 405 420 5 15
52 49 405 420 0 15
46 33 420 420 0 0
46 33 420 420 0 0
75 9 418 420 0 2
75 9 418 420 0 2
20 32 397 420 0 23
20 32 397 420 0 23
10 0 407 421 10 14
10 0 407 421 0 14
72 75 416 421 5 5
72 75 416 421 0 5
33 56 411 421 10 10
33 56 411 421 0 10
84 1 416 421 5 5
84 1 416 421 0 5
12 1 404 421 5 17
12 1 404 421 0 17
72 75 419 421 0 2
72 75 419 421 0 2
69 78 422 422 0 0
69 78 422 422 0 0
15 90 408 422 10 14
15 90 408 422 0 14
63 6 404 422 10 18
63 6 404 422 0 18
15 90 413 422 0 9
15 90 413 422 0 9
41 75 403 423 0 20
41 75 403 423 0 20
41 75 404 423 0 19
41 75 404 423 0 19
85 126 419 424 5 5
85 126 419 424 0 5
25 104 414 424 10 10
25 104 414 424 0 10
4 29 415 424 5 9
4 29 415 424 0 9
69 78 424 424 0 0
69 78 424 424 0 0
25 104 420 424 0 4
25 104 420 424 0 4
4 29 420 424 0 4
4 29 420 424 0 4
86 164 425 425 0 0
68 4 415 425 10 10
68 4 415 425 0 10
47 29 405 425 10 20
47 29 405 425 0 20
