vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
63 29 0 405 1
27 67 1 405 1
27 67 0 405 1
85 169 0 406 1
53 46 1 406 1
53 46 0 406 1
10 0 1 407 1
10 0 0 407 1
78 10 1 407 1
78 10 0 407 1
81 145 1 407 1
81 145 0 407 1
49 52 1 407 1
49 52 0 407 1
83 46 1 407 1
83 46 0 407 1
8 19 1 408 1
8 19 0 408 1
15 90 1 408 1
15 90 0 408 1
74 144 1 409 1
74 144 0 409 1
65 64 1 409 1
65 64 0 409 1
7 60 1 409 1
7 60 0 409 1
75 9 1 410 1
75 9 0 410 1
45 4 1 410 1
45 4 0 410 1
27 67 1 410 1
27 67 0 410 1
65 13 1 410 1
65 13 0 410 1
33 56 1 411 1
33 56 0 411 1
25 70 1 412 1
25 70 0 412 1
13 47 1 413 1
13 47 0 413 1
18 4 1 413 1
18 4 0 413 1
79 32 1 413 1
79 32 0 413 1
15 90 1 413 1
15 90 0 413 1
17 27 1 414 1
17 27 0 414 1
70 53 1 414 1
70 53 0 414 1
25 104 1 414 1
25 104 0 414 1
43 1 1 415 1
43 1 0 415 1
46 29 1 415 1
46 29 0 415 1
51 10 1 415 1
51 10 0 415 1
4 6 1 415 1
4 6 0 415 1
62 6 1 415 1
62 6 0 415 1
21 4 1 415 1
21 4 0 415 1
48 6 1 415 1
48 6 0 415 1
68 4 1 415 1
68 4 0 415 1
37 33 1 415 1
37 33 0 415 1
23 54 1 415 1
23 54 0 415 1
70 53 1 415 1
70 53 0 415 1
43 88 1 415 1
43 88 0 415 1
4 29 1 415 1
4 29 0 415 1
21 6 1 415 1
21 6 0 415 1
22 17 1 416 1
22 17 0 416 1
72 75 1 416 1
72 75 0 416 1
84 1 1 416 1
84 1 0 416 1
8 166 1 416 0
68 29 1 416 1
68 29 0 416 1
36 35 1 417 1
36 35 0 417 1
66 4 1 418 1
66 4 0 418 1
42 156 1 418 1
42 156 0 418 1
53 148 1 418 1
53 148 0 418 1
75 9 1 418 1
75 9 0 418 1
85 126 1 419 1
85 126 0 419 1
46 33 1 419 1
46 33 0 419 1
72 75 1 419 1
72 75 0 419 1
57 109 1 420 1
57 109 0 420 1
16 96 1 420 1
16 96 0 420 1
14 48 1 420 1
14 48 0 420 1
74 123 1 420 1
74 123 0 420 1
18 4 1 420 1
18 4 0 420 1
25 104 1 420 1
25 104 0 420 1
4 29 1 420 1
4 29 0 420 1
21 6 1 420 1
21 6 0 420 1
68 29 1 420 1
68 29 0 420 1
66 4 1 420 1
66 4 0 420 1
46 33 1 420 1
46 33 0 420 1
79 32 1 421 1
79 32 0 421 1
69 78 1 422 1
69 78 0 422 1
30 129 1 423 1
30 129 0 423 1
30 36 1 423 1
30 36 0 423 1
38 45 1 424 1
38 45 0 424 1
69 78 1 424 1
69 78 0 424 1
86 164 0 425 1
67 16 1 425 1
67 16 0 425 1
5 15 1 425 1
5 15 0 425 1
20 82 1 425 1
20 82 0 425 1
35 15 1 425 1
35 15 0 425 1
52 49 1 425 1
52 49 0 425 1
29 2 1 425 1
29 2 0 425 1
27 6 1 425 1
27 6 0 425 1
30 36 1 425 1
30 36 0 425 1
61 60 1 426 1
61 60 0 426 1
67 88 1 426 1
67 88 0 426 1
27 4 1 426 1
27 4 0 426 1
40 121 1 427 1
40 121 0 427 1
32 58 1 427 1
32 58 0 427 1
35 15 1 427 1
35 15 0 427 1
44 28 1 428 1
44 28 0 428 1
55 52 1 428 1
55 52 0 428 1
62 2 1 428 1
